channel,metal,target
0,In113,H3tot
1,La139,H3met
2,Pr141,CK5
3,Nd142,Fibronectin
4,Nd143,CK19
5,Nd144,CK8/18
6,Nd145,TWIST1
7,Nd146,CD68
8,Sm147,CK14
9,Nd148,SMA
10,Sm149,Vimentin
11,Nd150,Myc
12,Eu151,HER2
13,Sm152,CD3
14,Eu153,H3phospho
15,Sm154,ERK1/2
16,Gd155,SLUG
17,Gd156,ER
18,Gd158,PR
19,Tb159,p53
20,Gd160,CD44
21,Dy161,EpCAM
22,Dy162,CD45
23,Dy163,GATA3
24,Dy164,CD20
25,Ho165,betaCatenin
26,Er166,CAIX
27,Er167,Ecadherin
28,Er168,Ki67
29,Tm169,EGFR
30,Er170,S6
31,Yb171,Sox9
32,Yb172,vWf_CD31
33,Yb173,mTOR
34,Yb174,CK7
35,Lu175,panCK
36,Yb176,cPARP_cCasp3
37,Ir191,DNA1
38,Ir193,DNA2
